Date,Action,Symbol,Price,Shares,Transaction Amount,$Gain/Loss,Balance,Annual Return,Total Return
2020-05-20,BUY,SMA,80.50,"1,242.00","99,981.00",0,19.00,,
2021-03-26,SELL,SMA,257.10,"1,242.00","319,318.21","4,719.60","319,337.21",,
2021-06-24,BUY,SMA,362.00,882.00,"319,284.00",0,53.21,,
2021-10-07,SELL,SMA,354.20,882.00,"312,404.41","18,345.62","312,457.62",,
2021-10-26,BUY,SMA,428.80,728.00,"312,166.39",0,291.23,,
2021-12-23,SELL,SMA,379.20,728.00,"276,057.61","7,716.80","276,348.84",,
2022-08-10,BUY,SMA,110.90,"2,491.00","276,251.90",0,96.93,,
2022-09-20,SELL,SMA,75.50,"2,491.00","188,070.50","-4,982.00","188,167.43",,
2023-01-31,BUY,SMA,69.46,"2,709.00","188,167.14",0,0.29,,
2023-09-01,SELL,SMA,182.88,"2,709.00","495,421.93","-2,383.89","495,422.23",,
2023-11-22,BUY,SMA,204.50,"2,422.00","495,299.00",0,123.23,,
2024-05-06,SELL,SMA,337.18,"2,422.00","816,649.94","42,699.87","816,773.17",,
2024-05-24,BUY,SMA,369.82,"2,208.00","816,562.58",0,210.59,,
2024-08-15,SELL,SMA,402.50,"2,208.00","888,720.00","58,622.37","888,930.59",,
2024-10-15,BUY,SMA,433.89,"2,048.00","888,606.75",0,323.84,,
2024-12-06,SELL (Final),SMA,598.09,"2,048.00","1,224,888.38","41,390.13","1,225,212.22",,

SUMMARY,,,,,,"1,125,212.22","1,225,212.22",66.21,"1,125.21"
